Storm#,FlowStart,FlowEnd
1,,
2,6/25/19 10:44,6/25/19 14:31
3,6/29/19 21:30,6/30/19 5:24
4,7/11/19 21:57,7/12/19 7:41
5,7/28/19 14:18,7/28/19 22:44
6,8/7/19 22:54,8/8/19 11:03
7,8/17/19 5:56,8/17/19 21:28
8,8/21/19 11:33,8/21/19 23:19
9,8/28/19 18:37,8/29/19 1:18
10,9/2/19 0:04,9/3/19 8:26
11,9/23/19 18:31,9/24/19 19:53
12,9/26/19 11:29,9/27/19 2:36
13,10/1/19 20:36,10/2/19 11:36
15,10/7/19 3:15,10/8/19 9:30
16,10/16/19 20:47,10/18/19 9:14
17,10/27/19 9:00,10/27/19 15:44
